shelter_id,municipality,shelter_name,address,manual_latitude,manual_longitude,coordinate_source,source_file,source_sha256
web:b23fba6e2757aa4d02da,八代市,第八中学校,八代市西宮町656,32.49861745,130.6353691,manual_geocoding,マニュアルジオコーディング(1).csv,35f5dae36fe4e9577c53f227bd933e4604ed40e589ee27a700add2b32438424c
web:b71403ebb89f13bc5ba9,八代市,第六中学校,八代市水島町2065-4,32.48056681,130.5795679,manual_geocoding,マニュアルジオコーディング(1).csv,35f5dae36fe4e9577c53f227bd933e4604ed40e589ee27a700add2b32438424c
web:960b3eb957d534cb572f,八代市,第四中学校,八代市古閑上町182-2,32.51908497,130.6122824,manual_geocoding,マニュアルジオコーディング(1).csv,35f5dae36fe4e9577c53f227bd933e4604ed40e589ee27a700add2b32438424c
web:9f37c522cfe941422689,八代市,郡築コミュニティセンター,八代市郡築六番町61-2,32.53544662,130.5729516,manual_geocoding,マニュアルジオコーディング(1).csv,35f5dae36fe4e9577c53f227bd933e4604ed40e589ee27a700add2b32438424c
web:86ce46626c322703ff7e,八代市,郡築小学校,八代市郡築六番町49-1,32.53429791,130.5742723,manual_geocoding,マニュアルジオコーディング(1).csv,35f5dae36fe4e9577c53f227bd933e4604ed40e589ee27a700add2b32438424c
web:285305d25632a76bc41f,八代市,金剛コミュニティセンター,八代市高植本町800-2,32.46986241,130.5882392,manual_geocoding,マニュアルジオコーディング(1).csv,35f5dae36fe4e9577c53f227bd933e4604ed40e589ee27a700add2b32438424c
web:c30e0ba13e12f70b502c,八代市,金剛小学校,八代市高植本町1207,32.47627221,130.5846727,manual_geocoding,マニュアルジオコーディング(1).csv,35f5dae36fe4e9577c53f227bd933e4604ed40e589ee27a700add2b32438424c
web:71f2957e68ed27aa29b3,八代市,鏡コミュニティセンター,八代市鏡町内田1339-1,32.5620777,130.6450169,manual_geocoding,マニュアルジオコーディング(1).csv,35f5dae36fe4e9577c53f227bd933e4604ed40e589ee27a700add2b32438424c
web:fc07d4550a93586b2c73,八代市,鏡小学校,八代市鏡町鏡村609-1,32.56788328,130.66214,manual_geocoding,マニュアルジオコーディング(1).csv,35f5dae36fe4e9577c53f227bd933e4604ed40e589ee27a700add2b32438424c
web:32d814bdcf924bcc0fc3,八代市,高田小学校,八代市豊原中町317,32.48932389,130.6169221,manual_geocoding,マニュアルジオコーディング(1).csv,35f5dae36fe4e9577c53f227bd933e4604ed40e589ee27a700add2b32438424c
