shelter_id,municipality,shelter_name,address,manual_latitude,manual_longitude,coordinate_source,source_file,source_sha256
web:04a1d693386241a40f79,八代市,太田郷小学校,八代市日置町445,32.50956048,130.6229831,manual_geocoding,マニュアルジオコーディング(1).csv,35f5dae36fe4e9577c53f227bd933e4604ed40e589ee27a700add2b32438424c
web:710404e2616b9e6490cb,八代市,宮地コミュニティセンター,八代市宮地町383,32.49941316,130.6398492,manual_geocoding,マニュアルジオコーディング(1).csv,35f5dae36fe4e9577c53f227bd933e4604ed40e589ee27a700add2b32438424c
web:b7c4caf9ce445c310122,八代市,宮地小学校,八代市宮地町1826,32.50120738,130.6404051,manual_geocoding,マニュアルジオコーディング(1).csv,35f5dae36fe4e9577c53f227bd933e4604ed40e589ee27a700add2b32438424c
web:8513d22811c260b7b14f,八代市,宮地東コミュニティセンター,熊本県八代市東町5497-1,32.50612206,130.668706,manual_geocoding,マニュアルジオコーディング(1).csv,35f5dae36fe4e9577c53f227bd933e4604ed40e589ee27a700add2b32438424c
web:4575005230b2c09ac404,八代市,文政小学校,八代市鏡町両出1371-1,32.56071438,130.6332559,manual_geocoding,マニュアルジオコーディング(1).csv,35f5dae36fe4e9577c53f227bd933e4604ed40e589ee27a700add2b32438424c
web:45013d3c698255c52cc1,八代市,日奈久中学校,八代市日奈久竹之内町4332-1,32.43916506,130.5793498,manual_geocoding,マニュアルジオコーディング(1).csv,35f5dae36fe4e9577c53f227bd933e4604ed40e589ee27a700add2b32438424c
web:815d88420b847e32a5a4,八代市,日奈久小学校,八代市日奈久竹之内町4277-1,32.43916945,130.581419,manual_geocoding,マニュアルジオコーディング(1).csv,35f5dae36fe4e9577c53f227bd933e4604ed40e589ee27a700add2b32438424c
web:67fe04dd73a0111b2220,八代市,旧泉第一小学校,八代市泉町1960,32.5735198,130.7793776,manual_geocoding,マニュアルジオコーディング(1).csv,35f5dae36fe4e9577c53f227bd933e4604ed40e589ee27a700add2b32438424c
web:73509186972ba62f3f09,八代市,昭和小学校,八代市昭和明徴町731-2,32.56083258,130.6034912,manual_geocoding,マニュアルジオコーディング(1).csv,35f5dae36fe4e9577c53f227bd933e4604ed40e589ee27a700add2b32438424c
web:08270fcb0947b18bb99d,八代市,有佐小学校,八代市鏡町中島1360-1,32.55325131,130.6655909,manual_geocoding,マニュアルジオコーディング(1).csv,35f5dae36fe4e9577c53f227bd933e4604ed40e589ee27a700add2b32438424c
web:6cc18ab45ac920b097a5,八代市,松橋支援学校氷川分教室,八代市鏡町鏡村937,32.57120099,130.6564071,manual_geocoding,マニュアルジオコーディング(1).csv,35f5dae36fe4e9577c53f227bd933e4604ed40e589ee27a700add2b32438424c
web:b84833b5c2083bfd9c43,八代市,松高コミュニティセンター,八代市永碇町754-2,32.5193312,130.5922725,manual_geocoding,マニュアルジオコーディング(1).csv,35f5dae36fe4e9577c53f227bd933e4604ed40e589ee27a700add2b32438424c
web:b0bf2502c50ff9181c58,八代市,松高小学校,八代市永碇町828-1,32.51867439,130.5946769,manual_geocoding,マニュアルジオコーディング(1).csv,35f5dae36fe4e9577c53f227bd933e4604ed40e589ee27a700add2b32438424c
web:0c70f9a6030e3856cae7,八代市,植柳コミュニティセンター,八代市植柳下町4251-2,32.48545392,130.5987681,manual_geocoding,マニュアルジオコーディング(1).csv,35f5dae36fe4e9577c53f227bd933e4604ed40e589ee27a700add2b32438424c
web:8798ad523c24fcd66dc7,八代市,植柳小学校,八代市植柳上町449,32.49197175,130.6032396,manual_geocoding,マニュアルジオコーディング(1).csv,35f5dae36fe4e9577c53f227bd933e4604ed40e589ee27a700add2b32438424c
web:6bd12ccc3559d81dad0d,八代市,泉第八小学校,八代市泉町樅木137-4,32.50199347,130.9660197,manual_geocoding,マニュアルジオコーディング(1).csv,35f5dae36fe4e9577c53f227bd933e4604ed40e589ee27a700add2b32438424c
web:3f81517dc28b19758f5c,八代市,深水生活改善センター,八代市坂本町深水い1542-2,32.46990632,130.6949701,manual_geocoding,マニュアルジオコーディング(1).csv,35f5dae36fe4e9577c53f227bd933e4604ed40e589ee27a700add2b32438424c
web:793a5a60deef7966638d,八代市,田上社会教育センター,八代市坂本町田上2006,32.41162682,130.6294966,manual_geocoding,マニュアルジオコーディング(1).csv,35f5dae36fe4e9577c53f227bd933e4604ed40e589ee27a700add2b32438424c
web:3ff88ff210a8c8e57d64,八代市,第一中学校,八代市北の丸町1-29,32.51035452,130.5993773,manual_geocoding,マニュアルジオコーディング(1).csv,35f5dae36fe4e9577c53f227bd933e4604ed40e589ee27a700add2b32438424c
web:426205013f1c91278659,八代市,第七中学校,八代市郡築七番町41-2,32.53778275,130.5764275,manual_geocoding,マニュアルジオコーディング(1).csv,35f5dae36fe4e9577c53f227bd933e4604ed40e589ee27a700add2b32438424c
web:09a3707792378feabf9b,八代市,第三中学校,八代市中北町3378-5,32.49677349,130.5840408,manual_geocoding,マニュアルジオコーディング(1).csv,35f5dae36fe4e9577c53f227bd933e4604ed40e589ee27a700add2b32438424c
web:6ffd1b1e85b2aafface8,八代市,第二中学校,八代市上日置町2248-1,32.51095789,130.6245325,manual_geocoding,マニュアルジオコーディング(1).csv,35f5dae36fe4e9577c53f227bd933e4604ed40e589ee27a700add2b32438424c
web:64ecc73c663a49ce26f2,八代市,第五中学校,八代市豊原下町3807,32.4838707,130.6149008,manual_geocoding,マニュアルジオコーディング(1).csv,35f5dae36fe4e9577c53f227bd933e4604ed40e589ee27a700add2b32438424c
