shelter_id,municipality,shelter_name,address,manual_latitude,manual_longitude,coordinate_source,source_file,source_sha256
web:1b11ebfc9830472e8eb5,あさぎり町,あさぎり町ヘルシーランド,あさぎり町上北1874,32.21724352,130.9004991,manual_geocoding,マニュアルジオコーディング(1).csv,35f5dae36fe4e9577c53f227bd933e4604ed40e589ee27a700add2b32438424c
web:004f009ef73a81acd8e5,あさぎり町,せきれい館,あさぎり町深田西955-1,32.2439056,130.8730801,manual_geocoding,マニュアルジオコーディング(1).csv,35f5dae36fe4e9577c53f227bd933e4604ed40e589ee27a700add2b32438424c
web:eebebe302b998b3791fa,あさぎり町,ポッポー館,あさぎり町免田東1482-2,32.23641108,130.8942766,manual_geocoding,マニュアルジオコーディング(1).csv,35f5dae36fe4e9577c53f227bd933e4604ed40e589ee27a700add2b32438424c
web:3a8404b0106119c2a485,あさぎり町,岡原かえで館,あさぎり町岡原北929,32.24013735,130.9294546,manual_geocoding,マニュアルジオコーディング(1).csv,35f5dae36fe4e9577c53f227bd933e4604ed40e589ee27a700add2b32438424c
web:279a6521403b63e3b4fb,あさぎり町,須恵文化ホール,熊本県あさぎり町須恵,32.26668266,130.9002305,manual_geocoding,マニュアルジオコーディング(1).csv,35f5dae36fe4e9577c53f227bd933e4604ed40e589ee27a700add2b32438424c
web:e42624d1160f6df2b798,上天草市,市役所松島庁舎,上天草市松島町合津7915-1,32.51827884,130.432705,manual_geocoding,マニュアルジオコーディング(1).csv,35f5dae36fe4e9577c53f227bd933e4604ed40e589ee27a700add2b32438424c
web:c9b5d28a0b103a2afed7,八代市,さかもと青少年センター分館,八代市坂本町中谷い1270,32.44345307,130.669119,manual_geocoding,マニュアルジオコーディング(1).csv,35f5dae36fe4e9577c53f227bd933e4604ed40e589ee27a700add2b32438424c
web:8ea216df3abe1685c187,八代市,みんなの家(中津道),熊本県八代市坂本町中津道300,32.38254779,130.6546295,manual_geocoding,マニュアルジオコーディング(1).csv,35f5dae36fe4e9577c53f227bd933e4604ed40e589ee27a700add2b32438424c
web:843372517cc28fb05bb6,八代市,久多良木多目的集会施設,八代市坂本町百済来下694,32.39685703,130.5963205,manual_geocoding,マニュアルジオコーディング(1).csv,35f5dae36fe4e9577c53f227bd933e4604ed40e589ee27a700add2b32438424c
web:1b6fa2f886fba25b241b,八代市,二見コミュニティセンター,八代市二見下大野町2432-1,32.40723164,130.5588755,manual_geocoding,マニュアルジオコーディング(1).csv,35f5dae36fe4e9577c53f227bd933e4604ed40e589ee27a700add2b32438424c
web:d041a260fd1c907e244b,八代市,二見中学校,八代市二見本町852,32.40341066,130.557775,manual_geocoding,マニュアルジオコーディング(1).csv,35f5dae36fe4e9577c53f227bd933e4604ed40e589ee27a700add2b32438424c
web:72f6dcdf42be5b1c9c60,八代市,二見小学校,八代市二見下大野町2258-1,32.40750466,130.5597266,manual_geocoding,マニュアルジオコーディング(1).csv,35f5dae36fe4e9577c53f227bd933e4604ed40e589ee27a700add2b32438424c
web:fb3044a2b79afc80e386,八代市,今泉地区公民館,八代市坂本町西部ろ129番地,32.47076399,130.6387398,manual_geocoding,マニュアルジオコーディング(1).csv,35f5dae36fe4e9577c53f227bd933e4604ed40e589ee27a700add2b32438424c
web:78670aceb0f1a33db766,八代市,代陽コミュニティセンター,八代市西松江城町2-18,32.50711793,130.597334,manual_geocoding,マニュアルジオコーディング(1).csv,35f5dae36fe4e9577c53f227bd933e4604ed40e589ee27a700add2b32438424c
web:b276f19a065b0486ded4,八代市,代陽小学校,八代市北の丸町1-7,32.50952708,130.6017492,manual_geocoding,マニュアルジオコーディング(1).csv,35f5dae36fe4e9577c53f227bd933e4604ed40e589ee27a700add2b32438424c
web:bb62aded1e4ed62ec037,八代市,八代コミュニティセンター,八代市新地町6-3,32.50916831,130.5905641,manual_geocoding,マニュアルジオコーディング(1).csv,35f5dae36fe4e9577c53f227bd933e4604ed40e589ee27a700add2b32438424c
web:452a87fd3b7d540aee9a,八代市,八代小学校,八代市新地町4-1,32.50936386,130.5914653,manual_geocoding,マニュアルジオコーディング(1).csv,35f5dae36fe4e9577c53f227bd933e4604ed40e589ee27a700add2b32438424c
web:0b835744d3c0961a7b99,八代市,八代支援学校,熊本県八代市高島町1-6,32.52125277,130.579444,manual_geocoding,マニュアルジオコーディング(1).csv,35f5dae36fe4e9577c53f227bd933e4604ed40e589ee27a700add2b32438424c
web:a182018f3c8496894ba0,八代市,八千把小学校,八代市上野町1131,32.51721898,130.6135795,manual_geocoding,マニュアルジオコーディング(1).csv,35f5dae36fe4e9577c53f227bd933e4604ed40e589ee27a700add2b32438424c
web:e764e8f9fcbea6a05c8a,八代市,千丁コミュニティセンター,八代市千丁町新牟田1434,32.53505565,130.6336801,manual_geocoding,マニュアルジオコーディング(1).csv,35f5dae36fe4e9577c53f227bd933e4604ed40e589ee27a700add2b32438424c
web:e79d19687486af4f979e,八代市,坂本コミュニティセンター,八代市坂本町坂本4161-1,32.43640245,130.6579595,manual_geocoding,マニュアルジオコーディング(1).csv,35f5dae36fe4e9577c53f227bd933e4604ed40e589ee27a700add2b32438424c
web:4084009d56265678431f,八代市,大島公民館(大島分校跡),八代市大島町4885,32.53864258,130.5549971,manual_geocoding,マニュアルジオコーディング(1).csv,35f5dae36fe4e9577c53f227bd933e4604ed40e589ee27a700add2b32438424c
web:c29df28aaca34a945e9a,八代市,太田郷コミュニティセンター,八代市井上町601-1,32.51526673,130.6300121,manual_geocoding,マニュアルジオコーディング(1).csv,35f5dae36fe4e9577c53f227bd933e4604ed40e589ee27a700add2b32438424c
