snapshot_date_jst,retrieved_at_jst,status,record_count,open_count,closed_or_inactive_count,unknown_status_count,changed_count,reference_matched_count,reference_matched_multiple_count,reference_ambiguous_count,reference_unmatched_count,reference_match_rate,reference_source_sha256,source_updated_at_text,source_updated_at_jst,source_url,message
2026-08-02,2026-08-02T01:10:23+09:00,success,1382,210,1172,0,32,1285,15,0,82,0.940666,dd6686fa000c3e720180ba96d02aacff987aec1bba3c9bc69a5867fc0089d10d,26/08/02 01:10時点の避難所状況の一覧です。,2026-08-02T01:10+09:00,https://portal.bousai.pref.kumamoto.jp/sp.html?p=evacuation%2Fshelter&l=15-0&ll=32.63819999999999%2C130.77610000000004&z=9&municipalityCd=430005,"previous=data/daily/2026/08/2026-08-01.csv; headers=['市町村', '避難所名', '開設状況', '混雑状況', '住所', 'ルート検索']"
2026-08-03,2026-08-03T01:10:35+09:00,success,1381,206,1175,0,13,1285,15,0,81,0.941347,dd6686fa000c3e720180ba96d02aacff987aec1bba3c9bc69a5867fc0089d10d,26/08/03 01:10時点の避難所状況の一覧です。,2026-08-03T01:10+09:00,https://portal.bousai.pref.kumamoto.jp/sp.html?p=evacuation%2Fshelter&l=15-0&ll=32.63819999999999%2C130.77610000000004&z=9&municipalityCd=430005,"previous=data/daily/2026/08/2026-08-02.csv; headers=['市町村', '避難所名', '開設状況', '混雑状況', '住所', 'ルート検索']"
2026-08-03,2026-08-03T01:19:52+09:00,success,1381,206,1175,0,13,1285,15,0,81,0.941347,dd6686fa000c3e720180ba96d02aacff987aec1bba3c9bc69a5867fc0089d10d,26/08/03 01:19時点の避難所状況の一覧です。,2026-08-03T01:19+09:00,https://portal.bousai.pref.kumamoto.jp/sp.html?p=evacuation%2Fshelter&l=15-0&ll=32.63819999999999%2C130.77610000000004&z=9&municipalityCd=430005,"previous=data/daily/2026/08/2026-08-02.csv; headers=['市町村', '避難所名', '開設状況', '混雑状況', '住所', 'ルート検索']"
2026-08-03,2026-08-03T08:51:09+09:00,success,1359,176,1183,0,40,1285,15,0,59,0.956586,dd6686fa000c3e720180ba96d02aacff987aec1bba3c9bc69a5867fc0089d10d,26/08/03 08:51時点の避難所状況の一覧です。,2026-08-03T08:51+09:00,https://portal.bousai.pref.kumamoto.jp/sp.html?p=evacuation%2Fshelter&l=15-0&ll=32.63819999999999%2C130.77610000000004&z=9&municipalityCd=430005,"previous=data/daily/2026/08/2026-08-02.csv; headers=['市町村', '避難所名', '開設状況', '混雑状況', '住所', 'ルート検索']"
2026-08-03,2026-08-03T08:57:00+09:00,success,1359,176,1183,0,40,1285,15,0,59,0.956586,dd6686fa000c3e720180ba96d02aacff987aec1bba3c9bc69a5867fc0089d10d,26/08/03 08:57時点の避難所状況の一覧です。,2026-08-03T08:57+09:00,https://portal.bousai.pref.kumamoto.jp/sp.html?p=evacuation%2Fshelter&l=15-0&ll=32.63819999999999%2C130.77610000000004&z=9&municipalityCd=430005,"previous=data/daily/2026/08/2026-08-02.csv; headers=['市町村', '避難所名', '開設状況', '混雑状況', '住所', 'ルート検索']"
2026-08-03,2026-08-03T09:00:54+09:00,success,1359,176,1183,0,40,1285,15,0,59,0.956586,dd6686fa000c3e720180ba96d02aacff987aec1bba3c9bc69a5867fc0089d10d,26/08/03 09:00時点の避難所状況の一覧です。,2026-08-03T09:00+09:00,https://portal.bousai.pref.kumamoto.jp/sp.html?p=evacuation%2Fshelter&l=15-0&ll=32.63819999999999%2C130.77610000000004&z=9&municipalityCd=430005,"previous=data/daily/2026/08/2026-08-02.csv; headers=['市町村', '避難所名', '開設状況', '混雑状況', '住所', 'ルート検索']"
2026-08-04,2026-08-04T01:50:31+09:00,success,1359,150,1209,0,32,1286,15,0,58,0.957322,17068228366013260d8a1e506e0843bc9c0736e8ec7031a9e384d0d32abd7578,26/08/04 01:50時点の避難所状況の一覧です。,2026-08-04T01:50+09:00,https://portal.bousai.pref.kumamoto.jp/sp.html?p=evacuation%2Fshelter&l=15-0&ll=32.63819999999999%2C130.77610000000004&z=9&municipalityCd=430005,"previous=data/daily/2026/08/2026-08-03.csv; headers=['市町村', '避難所名', '開設状況', '混雑状況', '住所', 'ルート検索']"
2026-08-04,2026-08-04T02:17:48+09:00,success,1359,150,1209,0,32,1286,15,0,58,0.957322,17068228366013260d8a1e506e0843bc9c0736e8ec7031a9e384d0d32abd7578,26/08/04 02:17時点の避難所状況の一覧です。,2026-08-04T02:17+09:00,https://portal.bousai.pref.kumamoto.jp/sp.html?p=evacuation%2Fshelter&l=15-0&ll=32.63819999999999%2C130.77610000000004&z=9&municipalityCd=430005,"previous=data/daily/2026/08/2026-08-03.csv; headers=['市町村', '避難所名', '開設状況', '混雑状況', '住所', 'ルート検索']"
2026-08-05,2026-08-05T02:01:11+09:00,success,1357,139,1218,0,15,1286,15,0,56,0.958732,17068228366013260d8a1e506e0843bc9c0736e8ec7031a9e384d0d32abd7578,26/08/05 02:01時点の避難所状況の一覧です。,2026-08-05T02:01+09:00,https://portal.bousai.pref.kumamoto.jp/sp.html?p=evacuation%2Fshelter&l=15-0&ll=32.63819999999999%2C130.77610000000004&z=9&municipalityCd=430005,"previous=data/daily/2026/08/2026-08-04.csv; headers=['市町村', '避難所名', '開設状況', '混雑状況', '住所', 'ルート検索']"
2026-08-05,2026-08-05T12:35:20+09:00,success,1356,135,1221,0,22,1286,15,0,55,0.959440,17068228366013260d8a1e506e0843bc9c0736e8ec7031a9e384d0d32abd7578,26/08/05 12:35時点の避難所状況の一覧です。,2026-08-05T12:35+09:00,https://portal.bousai.pref.kumamoto.jp/sp.html?p=evacuation%2Fshelter&l=15-0&ll=32.63819999999999%2C130.77610000000004&z=9&municipalityCd=430005,"previous=data/daily/2026/08/2026-08-04.csv; headers=['市町村', '避難所名', '開設状況', '混雑状況', '住所', 'ルート検索']"
2026-08-05,2026-08-05T12:38:36+09:00,success,1356,135,1221,0,22,1286,15,0,55,0.959440,17068228366013260d8a1e506e0843bc9c0736e8ec7031a9e384d0d32abd7578,26/08/05 12:38時点の避難所状況の一覧です。,2026-08-05T12:38+09:00,https://portal.bousai.pref.kumamoto.jp/sp.html?p=evacuation%2Fshelter&l=15-0&ll=32.63819999999999%2C130.77610000000004&z=9&municipalityCd=430005,"previous=data/daily/2026/08/2026-08-04.csv; headers=['市町村', '避難所名', '開設状況', '混雑状況', '住所', 'ルート検索']"
2026-08-05,2026-08-05T12:41:25+09:00,success,1356,135,1221,0,22,1286,15,0,55,0.959440,17068228366013260d8a1e506e0843bc9c0736e8ec7031a9e384d0d32abd7578,26/08/05 12:41時点の避難所状況の一覧です。,2026-08-05T12:41+09:00,https://portal.bousai.pref.kumamoto.jp/sp.html?p=evacuation%2Fshelter&l=15-0&ll=32.63819999999999%2C130.77610000000004&z=9&municipalityCd=430005,"previous=data/daily/2026/08/2026-08-04.csv; headers=['市町村', '避難所名', '開設状況', '混雑状況', '住所', 'ルート検索']"
2026-08-06,2026-08-06T01:49:42+09:00,success,1355,130,1225,0,9,1286,15,0,54,0.960148,17068228366013260d8a1e506e0843bc9c0736e8ec7031a9e384d0d32abd7578,26/08/06 01:49時点の避難所状況の一覧です。,2026-08-06T01:49+09:00,https://portal.bousai.pref.kumamoto.jp/sp.html?p=evacuation%2Fshelter&l=15-0&ll=32.63819999999999%2C130.77610000000004&z=9&municipalityCd=430005,"previous=data/daily/2026/08/2026-08-05.csv; headers=['市町村', '避難所名', '開設状況', '混雑状況', '住所', 'ルート検索']"
2026-08-08,2026-08-08T01:05:35+09:00,success,1353,124,1229,0,16,1286,15,0,52,0.961567,17068228366013260d8a1e506e0843bc9c0736e8ec7031a9e384d0d32abd7578,26/08/08 01:05時点の避難所状況の一覧です。,2026-08-08T01:05+09:00,https://portal.bousai.pref.kumamoto.jp/sp.html?p=evacuation%2Fshelter&l=15-0&ll=32.63819999999999%2C130.77610000000004&z=9&municipalityCd=430005,"previous=data/daily/2026/08/2026-08-06.csv; headers=['市町村', '避難所名', '開設状況', '混雑状況', '住所', 'ルート検索']"
2026-08-08,2026-08-08T12:57:13+09:00,success,1351,120,1231,0,19,1286,15,0,50,0.962990,17068228366013260d8a1e506e0843bc9c0736e8ec7031a9e384d0d32abd7578,26/08/08 12:57時点の避難所状況の一覧です。,2026-08-08T12:57+09:00,https://portal.bousai.pref.kumamoto.jp/sp.html?p=evacuation%2Fshelter&l=15-0&ll=32.63819999999999%2C130.77610000000004&z=9&municipalityCd=430005,"previous=data/daily/2026/08/2026-08-06.csv; headers=['市町村', '避難所名', '開設状況', '混雑状況', '住所', 'ルート検索']"
2026-08-08,2026-08-08T13:03:28+09:00,success,1351,120,1231,0,19,1286,15,0,50,0.962990,17068228366013260d8a1e506e0843bc9c0736e8ec7031a9e384d0d32abd7578,26/08/08 13:03時点の避難所状況の一覧です。,2026-08-08T13:03+09:00,https://portal.bousai.pref.kumamoto.jp/sp.html?p=evacuation%2Fshelter&l=15-0&ll=32.63819999999999%2C130.77610000000004&z=9&municipalityCd=430005,"previous=data/daily/2026/08/2026-08-06.csv; headers=['市町村', '避難所名', '開設状況', '混雑状況', '住所', 'ルート検索']"
2026-08-09,2026-08-09T00:40:03+09:00,success,1351,120,1231,0,1,1286,15,0,50,0.962990,17068228366013260d8a1e506e0843bc9c0736e8ec7031a9e384d0d32abd7578,26/08/09 00:40時点の避難所状況の一覧です。,2026-08-09T00:40+09:00,https://portal.bousai.pref.kumamoto.jp/sp.html?p=evacuation%2Fshelter&l=15-0&ll=32.63819999999999%2C130.77610000000004&z=9&municipalityCd=430005,"previous=data/daily/2026/08/2026-08-08.csv; headers=['市町村', '避難所名', '開設状況', '混雑状況', '住所', 'ルート検索']"
2026-08-10,2026-08-10T00:42:32+09:00,success,1349,101,1248,0,25,1286,15,0,48,0.964418,17068228366013260d8a1e506e0843bc9c0736e8ec7031a9e384d0d32abd7578,26/08/10 00:42時点の避難所状況の一覧です。,2026-08-10T00:42+09:00,https://portal.bousai.pref.kumamoto.jp/sp.html?p=evacuation%2Fshelter&l=15-0&ll=32.63819999999999%2C130.77610000000004&z=9&municipalityCd=430005,"previous=data/daily/2026/08/2026-08-09.csv; headers=['市町村', '避難所名', '開設状況', '混雑状況', '住所', 'ルート検索']"
