snapshot_date_jst,retrieved_at_jst,source_updated_at_text,source_updated_at_jst,shelter_id,web_shelter_id,municipality,shelter_name,opening_status,is_open,congestion_status,evacuee_count,address,route_search,change_type,previous_opening_status,previous_congestion_status,previous_evacuee_count,source_url,record_hash,raw_row_json,reference_match_status,reference_match_method,reference_match_score,reference_match_count,reference_no,reference_common_id,reference_common_ids,reference_facility_name,reference_address,reference_same_address_as_emergency_site,reference_other_mayor_matters,reference_accepted_persons,reference_latitude,reference_longitude,reference_all_coordinates_json,reference_notes,reference_rows_json,reference_candidates_json,reference_source_file,reference_source_sha256,change_details,portal_shelter_id,portal_capacity_persons,portal_capacity_raw,capacity_source,capacity_acquired_at_jst,capacity_match_status,capacity_match_method,capacity_match_score,portal_latitude,portal_longitude,manual_latitude,manual_longitude,manual_geocode_status,manual_geocode_method,manual_geocode_source_file,manual_geocode_source_sha256,latitude,longitude,coordinate_source,coordinate_method,coordinate_status
2026-08-13,2026-08-13T01:07:01+09:00,26/08/13 01:07時点の避難所状況の一覧です。,2026-08-13T01:07+09:00,web:1b6fa2f886fba25b241b,1b6fa2f886fba25b241b,八代市,二見コミュニティセンター,開設,true,平常,,八代市二見下大野町2432-1,検索,congestion_changed,開設,---,,https://portal.bousai.pref.kumamoto.jp/sp.html?p=evacuation%2Fshelter&l=15-0&ll=32.63819999999999%2C130.77610000000004&z=9&municipalityCd=430005,37abc3cf72a74020ecc737089d3342758f455737c850a9a13ff0ec1044fc4b1a,"{""ルート検索"": ""検索"", ""住所"": ""八代市二見下大野町2432-1"", ""市町村"": ""八代市"", ""混雑状況"": ""平常"", ""避難所名"": ""二見コミュニティセンター"", ""開設状況"": ""開設""}",unmatched,fuzzy_below_threshold,0.761,0,,,,,,,,,,,[],,[],"[{""NO"": ""1224"", ""その他市町村長が必要と認める事項"": """", ""住所"": ""熊本県八代市昭和明徴町730-1"", ""備考"": """", ""共通ID"": ""E4320200054111"", ""受入対象者"": """", ""指定緊急避難場所との住所同一"": ""1"", ""施設・場所名"": ""昭和コミュニティセンター"", ""経度"": ""130.6036164"", ""緯度"": ""32.55967579""}, {""NO"": ""1238"", ""その他市町村長が必要と認める事項"": """", ""住所"": ""熊本県八代市泉町栗木5866"", ""備考"": """", ""共通ID"": ""E4320200081111"", ""受入対象者"": """", ""指定緊急避難場所との住所同一"": ""1"", ""施設・場所名"": ""泉コミュニティセンター"", ""経度"": ""130.808105877186"", ""緯度"": ""32.5457986916214""}, {""NO"": ""1217"", ""その他市町村長が必要と認める事項"": """", ""住所"": ""熊本県八代市古城町2259"", ""備考"": """", ""共通ID"": ""E4320200033111"", ""受入対象者"": """", ""指定緊急避難場所との住所同一"": ""1"", ""施設・場所名"": ""麦島コミュニティセンター"", ""経度"": ""130.5926186"", ""緯度"": ""32.49742503""}]",reference/43000_1.csv,17068228366013260d8a1e506e0843bc9c0736e8ec7031a9e384d0d32abd7578,混雑状況: --- -> 平常,00000695,200,200,kumamoto_portal_map,2026-08-01T00:28:20+09:00,matched,exact_municipality_name_address,1.000,32.407212,130.558888,32.40723164,130.5588755,matched,manual_shelter_id,マニュアルジオコーディング(1).csv,35f5dae36fe4e9577c53f227bd933e4604ed40e589ee27a700add2b32438424c,32.40723164,130.5588755,manual_geocoding,manual_shelter_id,complete
2026-08-13,2026-08-13T01:07:01+09:00,26/08/13 01:07時点の避難所状況の一覧です。,2026-08-13T01:07+09:00,web:6ffd1b1e85b2aafface8,6ffd1b1e85b2aafface8,八代市,第二中学校,開設,true,---,,八代市上日置町2248-1,検索,congestion_changed,開設,平常,,https://portal.bousai.pref.kumamoto.jp/sp.html?p=evacuation%2Fshelter&l=15-0&ll=32.63819999999999%2C130.77610000000004&z=9&municipalityCd=430005,dd2c4bedb20ab94a481e422ba7bbc6333a15c83fb2a8ff3b486758f9a9614dc9,"{""ルート検索"": ""検索"", ""住所"": ""八代市上日置町2248-1"", ""市町村"": ""八代市"", ""混雑状況"": ""---"", ""避難所名"": ""第二中学校"", ""開設状況"": ""開設""}",unmatched,exact_name_municipality_conflict,,0,,,,,,,,,,,[],,[],"[{""NO"": ""885"", ""その他市町村長が必要と認める事項"": """", ""住所"": ""熊本県人吉市上林町622"", ""備考"": """", ""共通ID"": ""E4320300019111"", ""受入対象者"": """", ""指定緊急避難場所との住所同一"": ""1"", ""施設・場所名"": ""第二中学校"", ""経度"": ""130.744083"", ""緯度"": ""32.22168798""}]",reference/43000_1.csv,17068228366013260d8a1e506e0843bc9c0736e8ec7031a9e384d0d32abd7578,混雑状況: 平常 -> ---,00000714,1400,1400,kumamoto_portal_map,2026-08-01T00:28:20+09:00,matched,exact_municipality_name_address,1.000,32.510926,130.62463,32.51095789,130.6245325,matched,manual_shelter_id,マニュアルジオコーディング(1).csv,35f5dae36fe4e9577c53f227bd933e4604ed40e589ee27a700add2b32438424c,32.51095789,130.6245325,manual_geocoding,manual_shelter_id,complete
2026-08-13,2026-08-13T01:07:01+09:00,26/08/13 01:07時点の避難所状況の一覧です。,2026-08-13T01:07+09:00,web:71f2957e68ed27aa29b3,71f2957e68ed27aa29b3,八代市,鏡コミュニティセンター,開設,true,やや混雑,,八代市鏡町内田1339-1,検索,congestion_changed,開設,混雑,,https://portal.bousai.pref.kumamoto.jp/sp.html?p=evacuation%2Fshelter&l=15-0&ll=32.63819999999999%2C130.77610000000004&z=9&municipalityCd=430005,ee854b3f452406d6a0d7a820062e0445dc535e7e44a239d227ccda654328cb45,"{""ルート検索"": ""検索"", ""住所"": ""八代市鏡町内田1339-1"", ""市町村"": ""八代市"", ""混雑状況"": ""やや混雑"", ""避難所名"": ""鏡コミュニティセンター"", ""開設状況"": ""開設""}",unmatched,fuzzy_below_threshold,0.800,0,,,,,,,,,,,[],,[],"[{""NO"": ""1224"", ""その他市町村長が必要と認める事項"": """", ""住所"": ""熊本県八代市昭和明徴町730-1"", ""備考"": """", ""共通ID"": ""E4320200054111"", ""受入対象者"": """", ""指定緊急避難場所との住所同一"": ""1"", ""施設・場所名"": ""昭和コミュニティセンター"", ""経度"": ""130.6036164"", ""緯度"": ""32.55967579""}, {""NO"": ""1238"", ""その他市町村長が必要と認める事項"": """", ""住所"": ""熊本県八代市泉町栗木5866"", ""備考"": """", ""共通ID"": ""E4320200081111"", ""受入対象者"": """", ""指定緊急避難場所との住所同一"": ""1"", ""施設・場所名"": ""泉コミュニティセンター"", ""経度"": ""130.808105877186"", ""緯度"": ""32.5457986916214""}, {""NO"": ""1229"", ""その他市町村長が必要と認める事項"": """", ""住所"": ""熊本県八代市上野町1193-1"", ""備考"": """", ""共通ID"": ""E4320200059111"", ""受入対象者"": """", ""指定緊急避難場所との住所同一"": ""1"", ""施設・場所名"": ""八千把コミュニティセンター"", ""経度"": ""130.6141942"", ""緯度"": ""32.51841666""}]",reference/43000_1.csv,17068228366013260d8a1e506e0843bc9c0736e8ec7031a9e384d0d32abd7578,混雑状況: 混雑 -> やや混雑,00000684,250,250,kumamoto_portal_map,2026-08-01T00:28:20+09:00,matched,exact_municipality_name_address,1.000,32.562104,130.644848,32.5620777,130.6450169,matched,manual_shelter_id,マニュアルジオコーディング(1).csv,35f5dae36fe4e9577c53f227bd933e4604ed40e589ee27a700add2b32438424c,32.5620777,130.6450169,manual_geocoding,manual_shelter_id,complete
