snapshot_date_jst,retrieved_at_jst,source_updated_at_text,source_updated_at_jst,shelter_id,web_shelter_id,municipality,shelter_name,opening_status,is_open,congestion_status,evacuee_count,address,route_search,change_type,previous_opening_status,previous_congestion_status,previous_evacuee_count,source_url,record_hash,raw_row_json,reference_match_status,reference_match_method,reference_match_score,reference_match_count,reference_no,reference_common_id,reference_common_ids,reference_facility_name,reference_address,reference_same_address_as_emergency_site,reference_other_mayor_matters,reference_accepted_persons,reference_latitude,reference_longitude,reference_all_coordinates_json,reference_notes,reference_rows_json,reference_candidates_json,reference_source_file,reference_source_sha256,change_details,portal_shelter_id,portal_capacity_persons,portal_capacity_raw,capacity_source,capacity_acquired_at_jst,capacity_match_status,capacity_match_method,capacity_match_score,portal_latitude,portal_longitude,manual_latitude,manual_longitude,manual_geocode_status,manual_geocode_method,manual_geocode_source_file,manual_geocode_source_sha256,latitude,longitude,coordinate_source,coordinate_method,coordinate_status
2026-08-16,2026-08-16T00:31:44+09:00,26/08/16 00:31時点の避難所状況の一覧です。,2026-08-16T00:31+09:00,web:1b6fa2f886fba25b241b,1b6fa2f886fba25b241b,八代市,二見コミュニティセンター,開設,true,---,,八代市二見下大野町2432-1,検索,congestion_changed,開設,平常,,https://portal.bousai.pref.kumamoto.jp/sp.html?p=evacuation%2Fshelter&l=15-0&ll=32.63819999999999%2C130.77610000000004&z=9&municipalityCd=430005,29cba61ed0ef8f6da5a622e00d7933c2bb29a96816d5805c61fae49a2336f603,"{""ルート検索"": ""検索"", ""住所"": ""八代市二見下大野町2432-1"", ""市町村"": ""八代市"", ""混雑状況"": ""---"", ""避難所名"": ""二見コミュニティセンター"", ""開設状況"": ""開設""}",unmatched,fuzzy_below_threshold,0.761,0,,,,,,,,,,,[],,[],"[{""NO"": ""1224"", ""その他市町村長が必要と認める事項"": """", ""住所"": ""熊本県八代市昭和明徴町730-1"", ""備考"": """", ""共通ID"": ""E4320200054111"", ""受入対象者"": """", ""指定緊急避難場所との住所同一"": ""1"", ""施設・場所名"": ""昭和コミュニティセンター"", ""経度"": ""130.6036164"", ""緯度"": ""32.55967579""}, {""NO"": ""1238"", ""その他市町村長が必要と認める事項"": """", ""住所"": ""熊本県八代市泉町栗木5866"", ""備考"": """", ""共通ID"": ""E4320200081111"", ""受入対象者"": """", ""指定緊急避難場所との住所同一"": ""1"", ""施設・場所名"": ""泉コミュニティセンター"", ""経度"": ""130.808105877186"", ""緯度"": ""32.5457986916214""}, {""NO"": ""1217"", ""その他市町村長が必要と認める事項"": """", ""住所"": ""熊本県八代市古城町2259"", ""備考"": """", ""共通ID"": ""E4320200033111"", ""受入対象者"": """", ""指定緊急避難場所との住所同一"": ""1"", ""施設・場所名"": ""麦島コミュニティセンター"", ""経度"": ""130.5926186"", ""緯度"": ""32.49742503""}]",reference/43000_1.csv,17068228366013260d8a1e506e0843bc9c0736e8ec7031a9e384d0d32abd7578,混雑状況: 平常 -> ---,00000695,200,200,kumamoto_portal_map,2026-08-01T00:28:20+09:00,matched,exact_municipality_name_address,1.000,32.407212,130.558888,32.40723164,130.5588755,matched,manual_shelter_id,マニュアルジオコーディング(1).csv,35f5dae36fe4e9577c53f227bd933e4604ed40e589ee27a700add2b32438424c,32.40723164,130.5588755,manual_geocoding,manual_shelter_id,complete
2026-08-16,2026-08-16T00:31:44+09:00,26/08/16 00:31時点の避難所状況の一覧です。,2026-08-16T00:31+09:00,ref:E4320200119111,b7e4a2ad78aafa90a9eb,八代市,八代トヨオカ地建アリーナ(総合体育館),開設,true,平常,,八代市緑町11-1,検索,congestion_changed,開設,---,,https://portal.bousai.pref.kumamoto.jp/sp.html?p=evacuation%2Fshelter&l=15-0&ll=32.63819999999999%2C130.77610000000004&z=9&municipalityCd=430005,70a12d2018b645f876d75ca420a2522c99c16768e9632c8d4e40e9bf0d75cdf0,"{""ルート検索"": ""検索"", ""住所"": ""八代市緑町11-1"", ""市町村"": ""八代市"", ""混雑状況"": ""平常"", ""避難所名"": ""八代トヨオカ地建アリーナ(総合体育館)"", ""開設状況"": ""開設""}",matched,exact_name_address,1.000,1,1259,E4320200119111,E4320200119111,八代トヨオカ地建アリーナ(総合体育館),熊本県八代市緑町11-1,1,,,32.50473737,130.6105499,"[{""共通ID"": ""E4320200119111"", ""経度"": ""130.6105499"", ""緯度"": ""32.50473737""}]",,"[{""NO"": ""1259"", ""その他市町村長が必要と認める事項"": """", ""住所"": ""熊本県八代市緑町11-1"", ""備考"": """", ""共通ID"": ""E4320200119111"", ""受入対象者"": """", ""指定緊急避難場所との住所同一"": ""1"", ""施設・場所名"": ""八代トヨオカ地建アリーナ(総合体育館)"", ""経度"": ""130.6105499"", ""緯度"": ""32.50473737""}]",[],reference/43000_1.csv,17068228366013260d8a1e506e0843bc9c0736e8ec7031a9e384d0d32abd7578,混雑状況: --- -> 平常,00000669,3000,3000,kumamoto_portal_map,2026-08-01T00:28:20+09:00,matched,exact_municipality_name_address,1.000,32.504782,130.610442,,,unmatched,manual_no_match,,,32.50473737,130.6105499,gsi_reference,reference_latitude_longitude,complete
2026-08-16,2026-08-16T00:31:44+09:00,26/08/16 00:31時点の避難所状況の一覧です。,2026-08-16T00:31+09:00,web:815d88420b847e32a5a4,815d88420b847e32a5a4,八代市,日奈久小学校,開設,true,平常,,八代市日奈久竹之内町4277-1,検索,congestion_changed,開設,---,,https://portal.bousai.pref.kumamoto.jp/sp.html?p=evacuation%2Fshelter&l=15-0&ll=32.63819999999999%2C130.77610000000004&z=9&municipalityCd=430005,ef5ff3ad9c211e8383da52cfaa886a603ef54c143f7ab8512672cd4a1f740170,"{""ルート検索"": ""検索"", ""住所"": ""八代市日奈久竹之内町4277-1"", ""市町村"": ""八代市"", ""混雑状況"": ""平常"", ""避難所名"": ""日奈久小学校"", ""開設状況"": ""開設""}",unmatched,no_candidate,,0,,,,,,,,,,,[],,[],[],reference/43000_1.csv,17068228366013260d8a1e506e0843bc9c0736e8ec7031a9e384d0d32abd7578,混雑状況: --- -> 平常,00000720,980,980,kumamoto_portal_map,2026-08-01T00:28:20+09:00,matched,exact_municipality_name_address,1.000,32.439129,130.581568,32.43916945,130.581419,matched,manual_shelter_id,マニュアルジオコーディング(1).csv,35f5dae36fe4e9577c53f227bd933e4604ed40e589ee27a700add2b32438424c,32.43916945,130.581419,manual_geocoding,manual_shelter_id,complete
2026-08-16,2026-08-16T00:31:44+09:00,26/08/16 00:31時点の避難所状況の一覧です。,2026-08-16T00:31+09:00,ref:E4321300031111,269cfa57733becf08788,宇城市,宇城市松橋総合体育文化センター(ウイング松橋),未開設(Web開設一覧に掲載なし),false,,,熊本県宇城市松橋町大野85,,closed;opening_status_changed;congestion_changed;address_changed,開設,平常,,https://portal.bousai.pref.kumamoto.jp/sp.html?p=evacuation%2Fshelter&l=15-0&ll=32.63819999999999%2C130.77610000000004&z=9&municipalityCd=430005,f8984e5a628cad3b9aedf0a335d5601d52e20e8705d8cba23493b61e5d883140,"{""ルート検索"": """", ""住所"": ""熊本県宇城市松橋町大野85"", ""市町村"": ""宇城市"", ""混雑状況"": """", ""避難所名"": ""宇城市松橋総合体育文化センター(ウイング松橋)"", ""開設状況"": ""未開設（Web開設一覧に掲載なし）""}",matched,exact_name_address,1.000,1,110,E4321300031111,E4321300031111,宇城市松橋総合体育文化センター(ウイング松橋),熊本県宇城市松橋町大野85,1,,,32.64684015,130.6841178,"[{""共通ID"": ""E4321300031111"", ""経度"": ""130.6841178"", ""緯度"": ""32.64684015""}]",,"[{""NO"": ""110"", ""その他市町村長が必要と認める事項"": """", ""住所"": ""熊本県宇城市松橋町大野85"", ""備考"": """", ""共通ID"": ""E4321300031111"", ""受入対象者"": """", ""指定緊急避難場所との住所同一"": ""1"", ""施設・場所名"": ""宇城市松橋総合体育文化センター(ウイング松橋)"", ""経度"": ""130.6841178"", ""緯度"": ""32.64684015""}]",[],reference/43000_1.csv,17068228366013260d8a1e506e0843bc9c0736e8ec7031a9e384d0d32abd7578,開設から未開設または閉鎖へ変化 / 開設状況: 開設 -> 未開設(Web開設一覧に掲載なし) / 混雑状況: 平常 -> (空欄) / 住所: 宇城市松橋町大野85 -> 熊本県宇城市松橋町大野85,00001145,840,840,kumamoto_portal_map,2026-08-01T00:28:20+09:00,matched,exact_municipality_name_address,1.000,32.646883,130.684065,,,unmatched,manual_no_match,,,32.64684015,130.6841178,gsi_reference,reference_latitude_longitude,complete
2026-08-16,2026-08-16T00:31:44+09:00,26/08/16 00:31時点の避難所状況の一覧です。,2026-08-16T00:31+09:00,ref:E4310000171111,f0a384fa171598599b1c,熊本市,天明まちづくりセンター・公民館,未開設(Web開設一覧に掲載なし),false,,,熊本県熊本市南区奥古閑町2035,,closed;opening_status_changed;congestion_changed,開設,不明,,https://portal.bousai.pref.kumamoto.jp/sp.html?p=evacuation%2Fshelter&l=15-0&ll=32.63819999999999%2C130.77610000000004&z=9&municipalityCd=430005,022cb6957e24e8f33c50cfd1326676ceb9908f1af663645efe9307255d2113b8,"{""ルート検索"": """", ""住所"": ""熊本県熊本市南区奥古閑町2035"", ""市町村"": ""熊本市"", ""混雑状況"": """", ""避難所名"": ""天明まちづくりセンター・公民館"", ""開設状況"": ""未開設（Web開設一覧に掲載なし）""}",matched,exact_name_address,1.000,1,493,E4310000171111,E4310000171111,天明まちづくりセンター・公民館,熊本県熊本市南区奥古閑町2035,1,,,32.732919,130.636721,"[{""共通ID"": ""E4310000171111"", ""経度"": ""130.636721"", ""緯度"": ""32.732919""}]",,"[{""NO"": ""493"", ""その他市町村長が必要と認める事項"": """", ""住所"": ""熊本県熊本市南区奥古閑町2035"", ""備考"": """", ""共通ID"": ""E4310000171111"", ""受入対象者"": """", ""指定緊急避難場所との住所同一"": ""1"", ""施設・場所名"": ""天明まちづくりセンター・公民館"", ""経度"": ""130.636721"", ""緯度"": ""32.732919""}]",[],reference/43000_1.csv,17068228366013260d8a1e506e0843bc9c0736e8ec7031a9e384d0d32abd7578,開設から未開設または閉鎖へ変化 / 開設状況: 開設 -> 未開設(Web開設一覧に掲載なし) / 混雑状況: 不明 -> (空欄),00000109,,0,kumamoto_portal_map,2026-08-01T00:28:20+09:00,matched,exact_municipality_name_address,1.000,32.732478,130.63587,,,unmatched,manual_no_match,,,32.732919,130.636721,gsi_reference,reference_latitude_longitude,complete
